actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,curvature_bin,lower_curvature,mean_absolute_steering,mean_speed,mean_throttle,observation_type,outcome,root_identity,run_id,sample_count,training_interactions,upper_curvature
large,ppo,0.28415300546448086,0,0,development,curve_2,0.05485719880639534,0.5980236757587377,17.79971193617108,0.27082479680007926,frenet,completed,1,ppo-large-frenet-seed-1,183,2000000,0.08331733356806285
large,ppo,0.2553191489361702,0,0,development,straight,0.0,0.4059444038275421,19.778417536401268,0.374166364185446,frenet,completed,2,ppo-large-frenet-seed-2,282,2000000,1e-08
large,ppo,0.28061224489795916,0,0,development,curve_1,0.0,0.44775862458675186,21.237828969904374,0.22114835320039394,frenet,completed,2,ppo-large-frenet-seed-2,196,2000000,0.05485719880639534
large,ppo,0.23076923076923078,0,0,development,curve_2,0.05485719880639534,0.7939389287070795,19.908047778431158,0.22188058123969429,frenet,completed,2,ppo-large-frenet-seed-2,143,2000000,0.08331733356806285
large,ppo,0.25874125874125875,0,0,development,straight,0.0,0.23782654338470705,19.077069159164207,0.30690255039778597,frenet,completed,3,ppo-large-frenet-seed-3,286,2000000,1e-08
large,ppo,0.35714285714285715,0,0,development,curve_1,0.0,0.3574625755028267,20.14704334307756,0.18430213549041322,frenet,completed,3,ppo-large-frenet-seed-3,210,2000000,0.05485719880639534
large,ppo,0.2926829268292683,0,0,development,curve_2,0.05485719880639534,0.56726673622786,18.17539489886122,0.2156715925254791,frenet,completed,3,ppo-large-frenet-seed-3,164,2000000,0.08331733356806285
large,ppo,0.15488215488215487,0,0,development,straight,0.0,0.19374048790223394,18.36158971610756,0.42050574166129534,frenet,completed,4,ppo-large-frenet-seed-4,297,2000000,1e-08
large,ppo,0.33624454148471616,0,0,development,curve_1,0.0,0.2789028137993458,18.51779814664091,0.2063150329029342,frenet,completed,4,ppo-large-frenet-seed-4,229,2000000,0.05485719880639534
large,ppo,0.5028901734104047,0,0,development,curve_2,0.05485719880639534,0.5678305606535404,19.123211187751753,0.03757236570064678,frenet,completed,4,ppo-large-frenet-seed-4,173,2000000,0.08331733356806285
medium,ppo,0.275092936802974,0,0,development,straight,0.0,0.18049364002875043,20.502513977830475,0.3960071015154396,frenet,completed,0,ppo-medium-frenet-seed-0,269,2000000,1e-08
medium,ppo,0.24736842105263157,0,0,development,curve_1,0.0,0.4746123055037491,22.173386872034243,0.2597679990080283,frenet,completed,0,ppo-medium-frenet-seed-0,190,2000000,0.05485719880639534
medium,ppo,0.30303030303030304,0,0,development,curve_2,0.05485719880639534,0.7860088696646871,20.813185817833865,0.16976001369414118,frenet,completed,0,ppo-medium-frenet-seed-0,132,2000000,0.08331733356806285
medium,ppo,0.3787375415282392,0,0,development,straight,0.0,0.6303276708767288,18.392637763745167,0.25002204249125665,frenet,completed,1,ppo-medium-frenet-seed-1,301,2000000,1e-08
medium,ppo,0.3364485981308411,0,0,development,curve_1,0.0,0.6391954831909562,19.391845579353276,0.2030185121214931,frenet,completed,1,ppo-medium-frenet-seed-1,214,2000000,0.05485719880639534
medium,ppo,0.25142857142857145,0,0,development,curve_2,0.05485719880639534,0.5980669772891062,18.122082121303592,0.16187235419106272,frenet,completed,1,ppo-medium-frenet-seed-1,175,2000000,0.08331733356806285
medium,ppo,0.3783783783783784,0,0,development,straight,0.0,0.7063216364512226,18.570894810977983,0.2324622304657021,frenet,completed,2,ppo-medium-frenet-seed-2,296,2000000,1e-08
medium,ppo,0.4084507042253521,0,0,development,curve_1,0.0,0.7185781231120517,19.243636878384237,0.2536559589294621,frenet,completed,2,ppo-medium-frenet-seed-2,213,2000000,0.05485719880639534
medium,ppo,0.19298245614035087,0,0,development,curve_2,0.05485719880639534,0.6907493540968158,17.274669678161775,0.46808198764538994,frenet,completed,2,ppo-medium-frenet-seed-2,171,2000000,0.08331733356806285
medium,ppo,0.49019607843137253,0,0,development,straight,0.0,0.36901110172533474,18.034940900549532,0.19769805603815863,frenet,completed,3,ppo-medium-frenet-seed-3,306,2000000,1e-08
medium,ppo,0.4553191489361702,0,0,development,curve_1,0.0,0.383412997028295,18.538432873838502,0.12005925984617244,frenet,completed,3,ppo-medium-frenet-seed-3,235,2000000,0.05485719880639534
medium,ppo,0.12568306010928962,0,0,development,curve_2,0.05485719880639534,0.4731010019148145,17.59821912566404,0.5261539197246966,frenet,completed,3,ppo-medium-frenet-seed-3,183,2000000,0.08331733356806285
medium,ppo,0.2768166089965398,0,0,development,straight,0.0,0.28765184293133705,19.221846565614698,0.36719697560175646,frenet,completed,4,ppo-medium-frenet-seed-4,289,2000000,1e-08
medium,ppo,0.22885572139303484,0,0,development,curve_1,0.0,0.3107224696348259,21.063631683067968,0.24810005382481795,frenet,completed,4,ppo-medium-frenet-seed-4,201,2000000,0.05485719880639534
medium,ppo,0.4,0,0,development,curve_2,0.05485719880639534,0.5028317283040711,19.02344687329508,0.05299769588912438,frenet,completed,4,ppo-medium-frenet-seed-4,140,2000000,0.08331733356806285
small,ppo,0.28169014084507044,0,0,development,straight,0.0,0.26003603584011753,19.570937740057172,0.4087458587637742,frenet,completed,0,ppo-small-frenet-seed-0,284,2000000,1e-08
small,ppo,0.27586206896551724,0,0,development,curve_1,0.0,0.33024320311688365,20.922586439077484,0.3615750879739764,frenet,completed,0,ppo-small-frenet-seed-0,203,2000000,0.05485719880639534
small,ppo,0.4853801169590643,0,0,development,curve_2,0.05485719880639534,0.6650296594560887,17.194371999528542,0.12073859211863482,frenet,completed,0,ppo-small-frenet-seed-0,171,2000000,0.08331733356806285
small,ppo,0.35294117647058826,0,0,development,straight,0.0,0.1854863997452947,20.041544937796843,0.291296734543079,frenet,crashed,1,ppo-small-frenet-seed-1,255,2000000,1e-08
small,ppo,0.33707865168539325,0,0,development,curve_1,0.0,0.31950028556702514,21.70950389648878,0.2516271984884829,frenet,crashed,1,ppo-small-frenet-seed-1,178,2000000,0.05485719880639534
small,ppo,0.3333333333333333,0,0,development,curve_2,0.05485719880639534,0.5830791123208958,19.98682180456774,0.14847792958219846,frenet,crashed,1,ppo-small-frenet-seed-1,120,2000000,0.08331733356806285
small,ppo,0.358974358974359,0,0,development,straight,0.0,0.6156563322501591,17.66640639969605,0.35866555380515563,frenet,completed,2,ppo-small-frenet-seed-2,312,2000000,1e-08
small,ppo,0.41333333333333333,0,0,development,curve_1,0.0,0.5968030467256904,18.78682766146777,0.2706098171033793,frenet,completed,2,ppo-small-frenet-seed-2,225,2000000,0.05485719880639534
small,ppo,0.26903553299492383,0,0,development,curve_2,0.05485719880639534,0.6205038124421224,17.15176552596892,0.426269175120757,frenet,completed,2,ppo-small-frenet-seed-2,197,2000000,0.08331733356806285
small,ppo,0.292358803986711,0,0,development,straight,0.0,0.6633248741203219,18.242021358769335,0.25203894926126785,frenet,completed,3,ppo-small-frenet-seed-3,301,2000000,1e-08
small,ppo,0.3577981651376147,0,0,development,curve_1,0.0,0.6949201881543224,19.390763036347597,0.15569386970296656,frenet,completed,3,ppo-small-frenet-seed-3,218,2000000,0.05485719880639534
small,ppo,0.2653061224489796,0,0,development,curve_2,0.05485719880639534,0.6802479979102215,17.613169554020153,0.2739513457327492,frenet,completed,3,ppo-small-frenet-seed-3,196,2000000,0.08331733356806285
small,ppo,0.35251798561151076,0,0,development,straight,0.0,0.2717952901571185,19.911545932435804,0.28671370375147276,frenet,completed,4,ppo-small-frenet-seed-4,278,2000000,1e-08
small,ppo,0.3675675675675676,0,0,development,curve_1,0.0,0.39220996614847636,21.680653375906513,0.16126421957868278,frenet,completed,4,ppo-small-frenet-seed-4,185,2000000,0.05485719880639534
small,ppo,0.1917808219178082,0,0,development,curve_2,0.05485719880639534,0.7562382912697041,20.746797140941826,0.2960996277349657,frenet,completed,4,ppo-small-frenet-seed-4,146,2000000,0.08331733356806285
tiny,ppo,0.16613418530351437,0,0,development,straight,0.0,0.4521150815179021,17.696942158924383,0.22419669790198646,frenet,completed,0,ppo-tiny-frenet-seed-0,313,2000000,1e-08
tiny,ppo,0.20465116279069767,0,0,development,curve_1,0.0,0.4896514796034628,19.271924282276814,0.07857747078699948,frenet,completed,0,ppo-tiny-frenet-seed-0,215,2000000,0.05485719880639534
tiny,ppo,0.11585365853658537,0,0,development,curve_2,0.05485719880639534,0.6356788032330436,18.833818209699537,0.12694717542461414,frenet,completed,0,ppo-tiny-frenet-seed-0,164,2000000,0.08331733356806285
tiny,ppo,0.43812709030100333,0,0,development,straight,0.0,0.4033242953227939,18.513862250476212,0.21763421062817703,frenet,completed,1,ppo-tiny-frenet-seed-1,299,2000000,1e-08
tiny,ppo,0.33796296296296297,0,0,development,curve_1,0.0,0.4439093191909638,19.413085333359845,0.28556049205211886,frenet,completed,1,ppo-tiny-frenet-seed-1,216,2000000,0.05485719880639534
tiny,ppo,0.17834394904458598,0,0,development,curve_2,0.05485719880639534,0.5152544432874342,17.473631761632582,0.44304523626223774,frenet,completed,1,ppo-tiny-frenet-seed-1,157,2000000,0.08331733356806285
tiny,ppo,0.22742474916387959,0,0,development,straight,0.0,0.3631050448209035,18.658635533138877,0.33235441972766333,frenet,completed,2,ppo-tiny-frenet-seed-2,299,2000000,1e-08
tiny,ppo,0.2692307692307692,0,0,development,curve_1,0.0,0.3700750020999784,19.885584062036006,0.2681825624794538,frenet,completed,2,ppo-tiny-frenet-seed-2,208,2000000,0.05485719880639534
tiny,ppo,0.43169398907103823,0,0,development,curve_2,0.05485719880639534,0.5181545395508429,18.348421301915522,0.0758711051353625,frenet,completed,2,ppo-tiny-frenet-seed-2,183,2000000,0.08331733356806285
tiny,ppo,0.2692307692307692,0,0,development,straight,0.0,0.7292941024397106,17.593018176662042,0.2467747131595388,frenet,completed,3,ppo-tiny-frenet-seed-3,312,2000000,1e-08
tiny,ppo,0.3476190476190476,0,0,development,curve_1,0.0,0.6406659598927945,19.136650526888157,0.10611353506489346,frenet,completed,3,ppo-tiny-frenet-seed-3,210,2000000,0.05485719880639534
tiny,ppo,0.1073170731707317,0,0,development,curve_2,0.05485719880639534,0.7351236947130685,18.621238730596655,0.23077129525751466,frenet,completed,3,ppo-tiny-frenet-seed-3,205,2000000,0.08331733356806285
tiny,ppo,0.21221864951768488,0,0,development,straight,0.0,0.3533738831992462,17.77872067361016,0.2956365496571508,frenet,completed,4,ppo-tiny-frenet-seed-4,311,2000000,1e-08
tiny,ppo,0.25112107623318386,0,0,development,curve_1,0.0,0.5144210885415395,19.394428006444627,0.18005662822141624,frenet,completed,4,ppo-tiny-frenet-seed-4,223,2000000,0.05485719880639534
tiny,ppo,0.5912408759124088,0,0,development,curve_2,0.05485719880639534,0.7757202513706293,19.023122547762252,-0.015363369008736943,frenet,completed,4,ppo-tiny-frenet-seed-4,137,2000000,0.08331733356806285
large,reinforce,0.03625377643504532,0,0,development,straight,0.0,0.08714947282462213,16.74699441613132,0.24515177690061063,frenet,completed,0,reinforce-large-frenet-seed-0,331,2000000,1e-08
large,reinforce,0.1228813559322034,0,0,development,curve_1,0.0,0.18641428867580914,18.183932757717454,0.15321589071477243,frenet,completed,0,reinforce-large-frenet-seed-0,236,2000000,0.05485719880639534
large,reinforce,0.5467289719626168,0,0,development,curve_2,0.05485719880639534,0.5941354395456124,18.05455843379167,-0.00034516150222669103,frenet,completed,0,reinforce-large-frenet-seed-0,214,2000000,0.08331733356806285
large,reinforce,0.10231023102310231,0,0,development,straight,0.0,0.6079405025950181,18.147012354785222,0.42097841170862343,frenet,completed,1,reinforce-large-frenet-seed-1,303,2000000,1e-08
large,reinforce,0.25,0,0,development,curve_1,0.0,0.7118448448929725,19.617537643411097,0.22020708689936172,frenet,completed,1,reinforce-large-frenet-seed-1,212,2000000,0.05485719880639534
large,reinforce,0.6419753086419753,0,0,development,curve_2,0.05485719880639534,0.8820870344377594,19.803431804389742,-0.0980607786871217,frenet,completed,1,reinforce-large-frenet-seed-1,162,2000000,0.08331733356806285
large,reinforce,0.0,0,0,development,straight,0.0,1.0,6.62671674769598,1.0,frenet,crashed,2,reinforce-large-frenet-seed-2,37,2000000,1e-08
large,reinforce,0.3324175824175824,0,0,development,straight,0.0,0.5666877786170916,15.104961188825932,0.24206675523840873,frenet,completed,3,reinforce-large-frenet-seed-3,364,2000000,1e-08
